datetime,pm25_level,solar_radiation,boundary_layer_height,temp,humidity,precip,precipprob,precipcover,windspeed,pressure,conditions,year,month,day,day_of_week,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,moving_avg_7,moving_std_7
2019-01-20,219.25,137.62033,104.26253,18.3,63.9,0.0,0.0,0.0,9.4,1015.9,Partially cloudy,2019,1,20,6,1,222.29166666666663,228.66666666666663,293.42857142857144,235.2083333333333,115.75,82.69565217391305,249.29166666666663,203.90465099083113,75.79417051243708
2019-01-21,142.04166666666666,113.27343,395.00775,16.8,79.2,10.507,100.0,8.33,26.5,1013.1,"Rain, Partially cloudy",2019,1,21,0,0,219.25,222.29166666666663,228.66666666666663,293.42857142857144,235.2083333333333,115.75,82.69565217391305,199.61298432416444,73.6151110244137
2019-01-22,45.22222222222222,90.00342,269.95462,15.2,95.0,29.553,100.0,12.5,22.3,1013.8,"Rain, Partially cloudy",2019,1,22,1,0,142.04166666666666,219.25,222.29166666666663,228.66666666666663,293.42857142857144,235.2083333333333,115.75,208.0909863945578,60.07878973033339
2019-01-23,141.61904761904762,103.50895,180.62723,13.0,93.4,0.0,0.0,0.0,11.2,1017.5,Partially cloudy,2019,1,23,2,0,45.22222222222222,142.04166666666666,219.25,222.29166666666663,228.66666666666663,293.42857142857144,235.2083333333333,198.015589569161,80.56627404312253
2019-01-24,128.0,138.97269,298.94348,14.7,86.7,2.701,100.0,4.17,20.5,1019.6,"Rain, Partially cloudy",2019,1,24,3,0,141.61904761904762,45.22222222222222,142.04166666666666,219.25,222.29166666666663,228.66666666666663,293.42857142857144,184.64569160997732,81.12905114106759
2019-01-25,78.16666666666667,133.15187,237.25148,13.8,83.5,2.552,100.0,4.17,13.0,1019.7,"Rain, Partially cloudy",2019,1,25,4,0,128.0,141.61904761904762,45.22222222222222,142.04166666666666,219.25,222.29166666666663,228.66666666666663,161.0130385487528,67.02865187820844
2019-01-26,104.20833333333331,158.83891,316.5835,12.5,70.3,0.0,0.0,0.0,14.8,1022.2,Clear,2019,1,26,5,1,78.16666666666667,128.0,141.61904761904762,45.22222222222222,142.04166666666666,219.25,222.29166666666663,139.51303854875283,65.83793102785087
2019-01-27,140.95833333333334,154.20601,347.64563,11.2,77.9,0.0,0.0,0.0,31.8,1022.6,Partially cloudy,2019,1,27,6,1,104.20833333333331,78.16666666666667,128.0,141.61904761904762,45.22222222222222,142.04166666666666,219.25,122.6439909297052,55.39248826392773
2019-01-28,112.1818181818182,164.43182,386.98627,11.9,72.6,0.0,0.0,0.0,24.6,1022.1,Clear,2019,1,28,0,0,140.95833333333334,104.20833333333331,78.16666666666667,128.0,141.61904761904762,45.22222222222222,142.04166666666666,111.4594671201814,37.720475597220535
2019-01-29,123.3181818181818,165.22858,211.95535,12.2,69.3,0.0,0.0,0.0,16.6,1020.5,Clear,2019,1,29,1,0,112.1818181818182,140.95833333333334,104.20833333333331,78.16666666666667,128.0,141.61904761904762,45.22222222222222,107.19377447948877,35.29608949469297
2019-01-30,195.0833333333333,148.03561,153.81296,13.1,69.6,0.0,0.0,0.0,13.6,1019.1,Partially cloudy,2019,1,30,2,0,123.3181818181818,112.1818181818182,140.95833333333334,104.20833333333331,78.16666666666667,128.0,141.61904761904762,118.35034013605443,22.44669286631625
2019-01-31,215.8333333333333,148.30115,317.6629,14.6,72.6,0.0,0.0,0.0,16.1,1017.7,Partially cloudy,2019,1,31,3,0,195.0833333333333,123.3181818181818,112.1818181818182,140.95833333333334,104.20833333333331,78.16666666666667,128.0,125.98809523809521,36.42640182592309
2019-02-01,177.8181818181818,136.47527,235.02844,15.4,81.4,0.0,0.0,0.0,15.4,1018.4,Partially cloudy,2019,2,1,4,0,215.8333333333333,195.0833333333333,123.3181818181818,112.1818181818182,140.95833333333334,104.20833333333331,78.16666666666667,138.53571428571425,49.87871346438193
2019-02-02,197.2083333333333,163.43642,244.80998,12.1,95.1,0.0,0.0,0.0,21.0,1018.7,Partially cloudy,2019,2,2,5,1,177.8181818181818,215.8333333333333,195.0833333333333,123.3181818181818,112.1818181818182,140.95833333333334,104.20833333333331,152.771645021645,43.6030859358075
