datetime,value
2019-05-06 00:00:00+05:30,115.68181818181819
2019-05-07 00:00:00+05:30,117.41666666666667
2019-05-08 00:00:00+05:30,156.65217391304347
2019-05-09 00:00:00+05:30,158.375
2019-05-10 00:00:00+05:30,126.69565217391305
2019-05-11 00:00:00+05:30,109.0
2019-05-12 00:00:00+05:30,227.375
2019-05-13 00:00:00+05:30,203.95833333333334
2019-05-14 00:00:00+05:30,47.666666666666664
2019-05-15 00:00:00+05:30,68.875
2019-05-16 00:00:00+05:30,65.20833333333333
2019-05-17 00:00:00+05:30,68.33333333333333
2019-05-18 00:00:00+05:30,41.958333333333336
2019-05-19 00:00:00+05:30,86.54166666666667
2019-05-20 00:00:00+05:30,90.125
2019-05-21 00:00:00+05:30,78.52173913043478
2019-05-22 00:00:00+05:30,55.166666666666664
2019-05-23 00:00:00+05:30,81.78260869565217
2019-05-24 00:00:00+05:30,40.166666666666664
2019-05-25 00:00:00+05:30,41.333333333333336
2019-05-26 00:00:00+05:30,53.25
2019-05-27 00:00:00+05:30,51.0
2019-05-28 00:00:00+05:30,62.958333333333336
2019-05-29 00:00:00+05:30,61.25
2019-05-30 00:00:00+05:30,71.95
2019-05-31 00:00:00+05:30,69.66666666666667
2019-06-01 00:00:00+05:30,82.16666666666667
2019-06-02 00:00:00+05:30,89.0
2019-06-03 00:00:00+05:30,59.21739130434783
2019-06-04 00:00:00+05:30,53.458333333333336
2019-06-05 00:00:00+05:30,62.958333333333336
2019-06-06 00:00:00+05:30,58.55
2019-06-07 00:00:00+05:30,48.666666666666664
2019-06-08 00:00:00+05:30,44.733333333333334
2019-06-09 00:00:00+05:30,63.2
2019-06-10 00:00:00+05:30,53.08695652173913
2019-06-11 00:00:00+05:30,97.83333333333333
2019-06-12 00:00:00+05:30,50.666666666666664
2019-06-13 00:00:00+05:30,43.166666666666664
2019-06-14 00:00:00+05:30,43.166666666666664
2019-06-15 00:00:00+05:30,70.70833333333333
2019-06-16 00:00:00+05:30,43.291666666666664
2019-06-17 00:00:00+05:30,39.44444444444444
2019-06-18 00:00:00+05:30,27.23076923076923
2019-06-19 00:00:00+05:30,25.0
2019-06-20 00:00:00+05:30,39.333333333333336
2019-06-21 00:00:00+05:30,63.875
2019-06-22 00:00:00+05:30,62.5
2019-06-23 00:00:00+05:30,35.583333333333336
2019-06-24 00:00:00+05:30,24.083333333333332
2019-06-25 00:00:00+05:30,53.708333333333336
2019-06-26 00:00:00+05:30,63.875
2019-06-27 00:00:00+05:30,56.22222222222222
2019-06-28 00:00:00+05:30,58.083333333333336
2019-06-29 00:00:00+05:30,57.416666666666664
2019-06-30 00:00:00+05:30,67.95833333333333
2019-07-01 00:00:00+05:30,56.94736842105263
2019-07-02 00:00:00+05:30,62.857142857142854
2019-07-03 00:00:00+05:30,32.523809523809526
2019-07-04 00:00:00+05:30,32.458333333333336
2019-07-05 00:00:00+05:30,44.875
2019-07-06 00:00:00+05:30,31.4375
2019-07-07 00:00:00+05:30,34.916666666666664
2019-07-08 00:00:00+05:30,49.791666666666664
2019-07-09 00:00:00+05:30,44.625
2019-07-10 00:00:00+05:30,76.375
2019-07-11 00:00:00+05:30,75.79166666666667
2019-07-12 00:00:00+05:30,71.18181818181819
2019-07-13 00:00:00+05:30,60.625
2019-07-14 00:00:00+05:30,63.791666666666664
2019-07-15 00:00:00+05:30,43.38095238095238
2019-07-16 00:00:00+05:30,34.34782608695652
2019-07-17 00:00:00+05:30,34.31818181818182
2019-07-18 00:00:00+05:30,28.583333333333332
2019-07-19 00:00:00+05:30,58.59090909090909
2019-07-20 00:00:00+05:30,43.791666666666664
2019-07-21 00:00:00+05:30,42.916666666666664
2019-07-22 00:00:00+05:30,51.916666666666664
2019-07-23 00:00:00+05:30,65.29166666666667
2019-07-24 00:00:00+05:30,57.291666666666664
2019-07-25 00:00:00+05:30,20.708333333333332
2019-07-26 00:00:00+05:30,29.708333333333332
