pm25_level,solar_radiation,boundary_layer_height,temp,humidity,precip,precipprob,precipcover,windspeed,pressure,day_of_week,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,moving_avg_7,moving_std_7,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",month_cos,month_sin,day_cos,day_sin
177.45833333333334,132.27681,258.1032,12.8,84.5,0.0,0.0,0.0,15.0,1018.1,1,0,185.04166666666663,169.0,225.91666666666663,238.375,345.375,278.5,261.30434782608694,243.3589544513457,59.47469649888506,0,0,1,0,0,0,0.8660254037844387,0.49999999999999994,-0.05064916883871264,0.9987165071710528
134.66666666666666,141.93831,258.84375,13.3,74.2,0.0,0.0,0.0,24.3,1017.3,2,0,177.45833333333334,185.04166666666663,169.0,225.91666666666663,238.375,345.375,278.5,231.38095238095235,63.56097351753948,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.2506525322587204,0.9680771188662043
149.8695652173913,144.12672,161.89012,13.1,72.0,0.0,0.0,0.0,11.2,1016.9,3,0,134.66666666666666,177.45833333333334,185.04166666666663,169.0,225.91666666666663,238.375,345.375,210.8333333333333,68.8210239195359,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.4403941515576344,0.8978045395707416
249.125,138.77318,191.50221,14.0,71.9,0.0,0.0,0.0,9.4,1018.3,4,0,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,169.0,225.91666666666663,238.375,182.90398550724635,37.799430470833066,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.6121059825476626,0.7907757369376989
233.66666666666663,116.138145,204.26584,14.8,72.2,0.0,0.0,0.0,11.2,1017.4,5,1,249.125,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,169.0,225.91666666666663,184.43969979296065,40.54721948243149,0,0,1,0,0,0,0.8660254037844387,0.49999999999999994,-0.758758122692791,0.6513724827222223
249.29166666666663,137.56902,299.05063,15.8,74.2,0.0,0.0,0.0,14.8,1019.3,6,1,233.66666666666663,249.125,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,169.0,185.5468426501035,41.950044052297926,0,0,1,0,0,0,0.8660254037844387,0.49999999999999994,-0.8743466161445821,0.48530196253108104
82.69565217391305,151.61247,410.19183,13.3,64.5,0.0,0.0,0.0,24.6,1019.4,0,0,249.29166666666663,233.66666666666663,249.125,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,197.0170807453416,47.30658380786545,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.9541392564000488,0.29936312297335804
115.75,146.09048,232.09325,11.2,71.1,0.0,0.0,0.0,18.4,1018.4,1,0,82.69565217391305,249.29166666666663,233.66666666666663,249.125,149.8695652173913,134.66666666666666,177.45833333333334,182.39622153209103,64.36493487495638,0,0,1,0,0,0,0.8660254037844387,0.49999999999999994,-0.994869323391895,0.10116832198743272
235.2083333333333,131.0009,134.78363,12.6,73.3,0.0,0.0,0.0,9.4,1018.2,2,0,115.75,82.69565217391305,249.29166666666663,233.66666666666663,249.125,149.8695652173913,134.66666666666666,173.5807453416149,69.19828611814435,0,0,1,0,0,0,0.8660254037844387,0.49999999999999994,-0.9948693233918952,-0.10116832198743204
293.42857142857144,149.14944,172.93613,13.4,74.6,0.0,0.0,0.0,14.8,1017.0,3,0,235.2083333333333,115.75,82.69565217391305,249.29166666666663,233.66666666666663,249.125,149.8695652173913,187.9438405797101,70.20206710982968,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.9541392564000488,-0.2993631229733582
228.66666666666663,150.65395,140.56073,12.6,78.4,0.0,0.0,0.0,22.8,1017.2,4,0,293.42857142857144,235.2083333333333,115.75,82.69565217391305,249.29166666666663,233.66666666666663,249.125,208.45227003845017,77.78516311482588,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.8743466161445822,-0.4853019625310808
222.29166666666663,148.71095,124.580284,15.1,71.6,0.0,0.0,0.0,9.4,1017.1,5,1,228.66666666666663,293.42857142857144,235.2083333333333,115.75,82.69565217391305,249.29166666666663,233.66666666666663,205.52965099083107,76.37380501916824,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994,-0.7587581226927911,-0.651372482722222
219.25,137.62033,104.26253,18.3,63.9,0.0,0.0,0.0,9.4,1015.9,6,1,222.29166666666663,228.66666666666663,293.42857142857144,235.2083333333333,115.75,82.69565217391305,249.29166666666663,203.90465099083116,75.79417051243708,0,0,1,0,0,0,0.8660254037844387,0.49999999999999994,-0.6121059825476627,-0.7907757369376986
142.04166666666666,113.27343,395.00775,16.8,79.2,10.507,100.0,8.33,26.5,1013.1,0,0,219.25,222.29166666666663,228.66666666666663,293.42857142857144,235.2083333333333,115.75,82.69565217391305,199.61298432416444,73.6151110244137,0,0,0,0,0,1,0.8660254037844387,0.49999999999999994,-0.44039415155763423,-0.8978045395707417
45.22222222222222,90.00342,269.95462,15.2,95.0,29.553,100.0,12.5,22.3,1013.8,1,0,142.04166666666666,219.25,222.29166666666663,228.66666666666663,293.42857142857144,235.2083333333333,115.75,208.0909863945578,60.07878973033339,0,0,0,0,0,1,0.8660254037844387,0.49999999999999994,-0.2506525322587213,-0.9680771188662041
