valid_time,solar_radiation,boundary_layer_height
2019-06-12,195.46701,669.8915
2019-06-13,240.34413,1013.90076
2019-06-14,251.91344,1226.9797
2019-06-15,244.08934,1436.2817
2019-06-16,212.89133,1068.5494
2019-06-17,225.3525,871.82227
2019-06-18,209.19011,683.077
2019-06-19,230.86337,778.6449
2019-06-20,240.4301,933.6238
2019-06-21,210.46935,887.7792
2019-06-22,244.79501,1312.8359
2019-06-23,229.85602,1064.1123
2019-06-24,216.45618,815.639
2019-06-25,210.12244,773.00885
2019-06-26,234.50003,1082.9299
2019-06-27,234.82733,1157.7734
2019-06-28,225.36337,1209.1699
2019-06-29,204.18651,1286.4406
2019-06-30,220.55875,1081.5647
2019-07-01,221.91096,909.33673
2019-07-02,221.14375,1034.745
2019-07-03,204.85283,901.3792
2019-07-04,168.30937,530.6201
2019-07-05,152.40196,455.79828
2019-07-06,162.87047,529.4261
2019-07-07,214.07243,548.75464
2019-07-08,220.16191,717.4332
2019-07-09,157.5186,457.75763
2019-07-10,185.18356,641.4191
2019-07-11,213.93143,926.72687
2019-07-12,207.29701,952.27466
2019-07-13,224.55244,1181.7385
2019-07-14,210.85524,1053.1473
2019-07-15,165.59698,724.3962
2019-07-16,91.36698,430.25055
2019-07-17,154.63358,381.35522
2019-07-18,185.45056,365.0102
2019-07-19,191.48714,553.6373
2019-07-20,176.4059,484.9457
2019-07-21,101.510086,500.12836
2019-07-22,166.08385,441.3857
2019-07-23,164.06682,557.7414
2019-07-24,178.87424,363.3025
2019-07-25,61.168285,366.36945
2019-07-26,74.18445,330.69067
2019-07-27,129.71916,543.64514
2019-07-28,134.22636,684.7025
2019-07-29,196.7715,662.36383
2019-07-30,134.88063,562.65564
2019-07-31,75.25918,502.81393
2019-08-01,117.07119,462.65918
2019-08-02,106.21262,425.5661
2019-08-03,102.330826,343.27646
2019-08-04,109.9526,294.05322
2019-08-05,150.88535,367.51376
2019-08-06,131.21057,308.4215
2019-08-07,134.53003,350.89853
2019-08-08,171.41023,508.3382
2019-08-09,151.13496,1058.1073
2019-08-10,171.03719,713.16833
2019-08-11,175.16234,505.89252
2019-08-12,176.33592,418.53888
2019-08-13,153.82619,368.89194
2019-08-14,103.1059,312.84943
2019-08-15,150.24525,675.8939
2019-08-16,146.90729,784.7135
2019-08-17,56.348053,565.74805
2019-08-18,64.9228,408.8492
2019-08-19,141.08667,347.14865
2019-08-20,187.4626,530.65594
2019-08-21,219.30107,497.68832
2019-08-22,195.73726,367.18445
